size 14
wumpus 10 11
gold 2 6
pit 1 6
pit 1 8
pit 1 9
pit 1 10
pit 1 11
pit 1 13
pit 1 14
pit 2 5
pit 2 9
pit 2 10
pit 3 1
pit 3 3
pit 3 9
pit 3 10
pit 4 4
pit 4 5
pit 4 11
pit 4 12
pit 5 2
pit 5 10
pit 5 11
pit 6 4
pit 6 6
pit 6 8
pit 6 9
pit 6 11
pit 6 12
pit 6 14
pit 7 3
pit 7 4
pit 7 14
pit 8 3
pit 8 4
pit 8 10
pit 8 11
pit 9 1
pit 9 6
pit 9 11
pit 10 12
pit 11 3
pit 11 4
pit 11 7
pit 11 8
pit 11 12
pit 12 1
pit 12 4
pit 12 6
pit 12 8
pit 12 12
pit 12 13
pit 13 4
pit 13 7
pit 13 12
pit 13 13
pit 14 5
pit 14 10
